Date:  16:48, Monday, November 14, 2016
Model name:Devin
Study name:Static 1(-Default-)
Mesh type: Solid Mesh


Node  ,Value  ,X (in)  ,Y (in)  ,Z (in)
1  ,0.000e+000  ,-1.5  ,5  ,2.5981
2  ,0.000e+000  ,-1.7634  ,5  ,2.4271
3  ,0.000e+000  ,-2.0074  ,5  ,2.2294
4  ,0.000e+000  ,-2.2294  ,5  ,2.0074
5  ,0.000e+000  ,-2.4271  ,5  ,1.7634
6  ,0.000e+000  ,-2.5981  ,5  ,1.5
7  ,0.000e+000  ,-2.7406  ,5  ,1.2202
8  ,0.000e+000  ,-2.8532  ,5  ,0.92705
9  ,0.000e+000  ,-2.9344  ,5  ,0.62374
10  ,0.000e+000  ,-2.9836  ,5  ,0.31359
11  ,0.000e+000  ,-3  ,5  ,3.6739E-016
12  ,0.000e+000  ,-2.9836  ,5  ,-0.31359
13  ,0.000e+000  ,-2.9344  ,5  ,-0.62374
14  ,0.000e+000  ,-2.8532  ,5  ,-0.92705
15  ,0.000e+000  ,-2.7406  ,5  ,-1.2202
16  ,0.000e+000  ,-2.5981  ,5  ,-1.5
17  ,0.000e+000  ,-2.4271  ,5  ,-1.7634
18  ,0.000e+000  ,-2.2294  ,5  ,-2.0074
19  ,0.000e+000  ,-2.0074  ,5  ,-2.2294
20  ,0.000e+000  ,-1.7634  ,5  ,-2.4271
21  ,0.000e+000  ,-1.5  ,5  ,-2.5981
37  ,0.000e+000  ,-1.5  ,1.9284E-016  ,-2.5981
38  ,0.000e+000  ,-1.7634  ,1.3528E-016  ,-2.4271
39  ,0.000e+000  ,-2.0074  ,8.1951E-017  ,-2.2294
40  ,0.000e+000  ,-2.2294  ,3.3424E-017  ,-2.0074
41  ,0.000e+000  ,-2.4271  ,-9.7648E-018  ,-1.7634
42  ,0.000e+000  ,-2.5981  ,-4.7142E-017  ,-1.5
43  ,0.000e+000  ,-2.7406  ,-7.8298E-017  ,-1.2202
44  ,0.000e+000  ,-2.8532  ,-1.0289E-016  ,-0.92705
45  ,0.000e+000  ,-2.9344  ,-1.2065E-016  ,-0.62374
46  ,0.000e+000  ,-2.9836  ,-1.3139E-016  ,-0.31359
47  ,0.000e+000  ,-3  ,-1.3498E-016  ,3.0319E-015
48  ,0.000e+000  ,-2.9836  ,-1.3139E-016  ,0.31359
49  ,0.000e+000  ,-2.9344  ,-1.2065E-016  ,0.62374
50  ,0.000e+000  ,-2.8532  ,-1.0289E-016  ,0.92705
51  ,0.000e+000  ,-2.7406  ,-7.8298E-017  ,1.2202
52  ,0.000e+000  ,-2.5981  ,-4.7142E-017  ,1.5
53  ,0.000e+000  ,-2.4271  ,-9.7648E-018  ,1.7634
54  ,0.000e+000  ,-2.2294  ,3.3424E-017  ,2.0074
55  ,0.000e+000  ,-2.0074  ,8.1951E-017  ,2.2294
56  ,0.000e+000  ,-1.7634  ,1.3528E-016  ,2.4271
57  ,0.000e+000  ,-1.5  ,-3.2782E-016  ,2.5981
339  ,0.000e+000  ,3  ,5  ,0
340  ,0.000e+000  ,2.9836  ,5  ,0.31359
341  ,0.000e+000  ,2.9344  ,5  ,0.62374
342  ,0.000e+000  ,2.8532  ,5  ,0.92705
343  ,0.000e+000  ,2.7406  ,5  ,1.2202
344  ,0.000e+000  ,2.5981  ,5  ,1.5
345  ,0.000e+000  ,2.4271  ,5  ,1.7634
346  ,0.000e+000  ,2.2294  ,5  ,2.0074
347  ,0.000e+000  ,2.0074  ,5  ,2.2294
348  ,0.000e+000  ,1.7634  ,5  ,2.4271
349  ,0.000e+000  ,1.5  ,5  ,2.5981
350  ,0.000e+000  ,1.2202  ,5  ,2.7406
351  ,0.000e+000  ,0.92705  ,5  ,2.8532
352  ,0.000e+000  ,0.62374  ,5  ,2.9344
353  ,0.000e+000  ,0.31359  ,5  ,2.9836
354  ,0.000e+000  ,-9.0904E-016  ,5  ,3
355  ,0.000e+000  ,-0.31359  ,5  ,2.9836
356  ,0.000e+000  ,-0.62374  ,5  ,2.9344
357  ,0.000e+000  ,-0.92705  ,5  ,2.8532
358  ,0.000e+000  ,-1.2202  ,5  ,2.7406
359  ,0.000e+000  ,-1.2202  ,2.5399E-016  ,2.7406
360  ,0.000e+000  ,-0.92705  ,3.1806E-016  ,2.8532
361  ,0.000e+000  ,-0.62374  ,3.8435E-016  ,2.9344
362  ,0.000e+000  ,-0.31359  ,4.5213E-016  ,2.9836
363  ,0.000e+000  ,1.837E-016  ,5.2066E-016  ,3
364  ,0.000e+000  ,0.31359  ,5.892E-016  ,2.9836
365  ,0.000e+000  ,0.62374  ,6.5698E-016  ,2.9344
366  ,0.000e+000  ,0.92705  ,7.2327E-016  ,2.8532
367  ,0.000e+000  ,1.2202  ,7.8734E-016  ,2.7406
368  ,0.000e+000  ,1.5  ,8.4848E-016  ,2.5981
