Date:  16:48, Monday, November 14, 2016
Model name:Devin
Study name:Static 1(-Default-)
Mesh type: Solid Mesh


Node  ,Value  ,X (in)  ,Y (in)  ,Z (in)
1  ,0.000e+000  ,-1.5  ,5  ,2.5981
2  ,0.000e+000  ,-1.7634  ,5  ,2.4271
3  ,0.000e+000  ,-2.0074  ,5  ,2.2294
4  ,0.000e+000  ,-2.2294  ,5  ,2.0074
5  ,0.000e+000  ,-2.4271  ,5  ,1.7634
6  ,0.000e+000  ,-2.5981  ,5  ,1.5
7  ,0.000e+000  ,-2.7406  ,5  ,1.2202
8  ,0.000e+000  ,-2.8532  ,5  ,0.92705
9  ,0.000e+000  ,-2.9344  ,5  ,0.62374
10  ,0.000e+000  ,-2.9836  ,5  ,0.31359
11  ,0.000e+000  ,-3  ,5  ,3.6739E-016
12  ,0.000e+000  ,-2.9836  ,5  ,-0.31359
13  ,0.000e+000  ,-2.9344  ,5  ,-0.62374
14  ,0.000e+000  ,-2.8532  ,5  ,-0.92705
15  ,0.000e+000  ,-2.7406  ,5  ,-1.2202
16  ,0.000e+000  ,-2.5981  ,5  ,-1.5
17  ,0.000e+000  ,-2.4271  ,5  ,-1.7634
18  ,0.000e+000  ,-2.2294  ,5  ,-2.0074
19  ,0.000e+000  ,-2.0074  ,5  ,-2.2294
20  ,0.000e+000  ,-1.7634  ,5  ,-2.4271
21  ,0.000e+000  ,-1.5  ,5  ,-2.5981
