intermediate boundry
-6.105948 -0.597075 6

-5.935612 -0.745253 6

-5.743948 -0.903468 6

-5.528824 -1.071007 6

-5.287965 -1.246831 6

-5.019009 -1.429492 6

-4.720062 -1.616769 6

-4.388997 -1.806162 6

-4.023997 -1.994543 6

4.023997 -1.994543 6

4.388997 -1.806162 6

4.720062 -1.616769 6

5.019009 -1.429492 6

5.287965 -1.246831 6

5.528824 -1.071007 6

5.743948 -0.903468 6

5.935612 -0.745253 6

6.105948 -0.597075 6

6.105948 13.097075 6

5.935612 13.245253 6

5.743948 13.403468 6

5.528824 13.571007 6

5.287965 13.746831 6

5.019009 13.929492 6

4.720062 14.116769 6

4.388997 14.306162 6

4.023997 14.494543 6

-4.023997 14.494543 6

-4.388997 14.306162 6

-4.720062 14.116769 6

-5.019009 13.929492 6

-5.287965 13.746831 6

-5.528824 13.571007 6

-5.743948 13.403468 6

-5.935612 13.245253 6

-6.105948 13.097075 6

intermediate boundry
-5.972836 -0.447807 6

-5.806213 -0.592753 6

-5.618728 -0.747519 6

-5.408294 -0.911406 6

-5.172685 -1.083397 6

-4.909592 -1.262076 6

-4.617163 -1.445271 6

-4.293315 -1.630535 6

-3.936272 -1.814809 6

3.936272 -1.814809 6

4.293315 -1.630535 6

4.617163 -1.445271 6

4.909592 -1.262076 6

5.172685 -1.083397 6

5.408294 -0.911406 6

5.618728 -0.747519 6

5.806213 -0.592753 6

5.972836 -0.447807 6

5.972836 12.947807 6

5.806213 13.092753 6

5.618728 13.247519 6

5.408294 13.411406 6

5.172685 13.583397 6

4.909592 13.762076 6

4.617163 13.945271 6

4.293315 14.130535 6

3.936272 14.314809 6

-3.936272 14.314809 6

-4.293315 14.130535 6

-4.617163 13.945271 6

-4.909592 13.762076 6

-5.172685 13.583397 6

-5.408294 13.411406 6

-5.618728 13.247519 6

-5.806213 13.092753 6

-5.972836 12.947807 6

intermediate boundry
-5.839724 -0.298538 6

-5.676814 -0.440254 6

-5.493508 -0.591571 6

-5.287764 -0.751805 6

-5.057405 -0.919963 6

-4.800176 -1.094660 6

-4.514263 -1.273772 6

-4.197633 -1.454907 6

-3.848547 -1.635075 6

3.848547 -1.635075 6

4.197633 -1.454907 6

4.514263 -1.273772 6

4.800176 -1.094660 6

5.057405 -0.919963 6

5.287764 -0.751805 6

5.493508 -0.591571 6

5.676814 -0.440254 6

5.839724 -0.298538 6

5.839724 12.798538 6

5.676814 12.940254 6

5.493508 13.091571 6

5.287764 13.251805 6

5.057405 13.419963 6

4.800176 13.594660 6

4.514263 13.773772 6

4.197633 13.954907 6

3.848547 14.135075 6

-3.848547 14.135075 6

-4.197633 13.954907 6

-4.514263 13.773772 6

-4.800176 13.594660 6

-5.057405 13.419963 6

-5.287764 13.251805 6

-5.493508 13.091571 6

-5.676814 12.940254 6

-5.839724 12.798538 6

intermediate boundry
-5.706612 -0.149269 6

-5.547416 -0.287755 6

-5.368288 -0.435623 6

-5.167233 -0.592205 6

-4.942126 -0.756530 6

-4.690760 -0.927244 6

-4.411364 -1.102274 6

-4.101952 -1.279280 6

-3.760823 -1.455341 6

3.760823 -1.455341 6

4.101952 -1.279280 6

4.411364 -1.102274 6

4.690760 -0.927244 6

4.942126 -0.756530 6

5.167233 -0.592205 6

5.368288 -0.435623 6

5.547416 -0.287755 6

5.706612 -0.149269 6

5.706612 12.649269 6

5.547416 12.787755 6

5.368288 12.935623 6

5.167233 13.092205 6

4.942126 13.256530 6

4.690760 13.427244 6

4.411364 13.602274 6

4.101952 13.779280 6

3.760823 13.955341 6

-3.760823 13.955341 6

-4.101952 13.779280 6

-4.411364 13.602274 6

-4.690760 13.427244 6

-4.942126 13.256530 6

-5.167233 13.092205 6

-5.368288 12.935623 6

-5.547416 12.787755 6

-5.706612 12.649269 6

intermediate boundry
-5.573500 0.000000 6

-5.418017 -0.135256 6

-5.243067 -0.279674 6

-5.046703 -0.432604 6

-4.826846 -0.593096 6

-4.581343 -0.759828 6

-4.308465 -0.930775 6

-4.006270 -1.103652 6

-3.673098 -1.275606 6

3.673098 -1.275606 6

4.006270 -1.103652 6

4.308465 -0.930775 6

4.581343 -0.759828 6

4.826846 -0.593096 6

5.046703 -0.432604 6

5.243067 -0.279674 6

5.418017 -0.135256 6

5.573500 0.000000 6

5.573500 12.500000 6

5.418017 12.635256 6

5.243067 12.779674 6

5.046703 12.932604 6

4.826846 13.093096 6

4.581343 13.259828 6

4.308465 13.430775 6

4.006270 13.603652 6

3.673098 13.775606 6

-3.673098 13.775606 6

-4.006270 13.603652 6

-4.308465 13.430775 6

-4.581343 13.259828 6

-4.826846 13.093096 6

-5.046703 12.932604 6

-5.243067 12.779674 6

-5.418017 12.635256 6

-5.573500 12.500000 6

intermediate boundry
-5.573500 0.000000 6

-5.303250 -0.000000 6

-5.117847 -0.123726 6

-4.926172 -0.273003 6

-4.711566 -0.429662 6

-4.471927 -0.592413 6

-4.205566 -0.759277 6

-3.910588 -0.928025 6

-3.585373 -1.095872 6

3.585373 -1.095872 6

3.910588 -0.928025 6

4.205566 -0.759277 6

4.471927 -0.592413 6

4.711566 -0.429662 6

4.926172 -0.273003 6

5.117847 -0.123726 6

5.303250 0.000000 6

5.573500 0.000000 6

5.573500 12.500000 6

5.303250 12.500000 6

5.117847 12.623726 6

4.926172 12.773003 6

4.711566 12.929662 6

4.471927 13.092413 6

4.205566 13.259277 6

3.910588 13.428025 6

3.585373 13.595872 6

-3.585373 13.595872 6

-3.910588 13.428025 6

-4.205566 13.259277 6

-4.471927 13.092413 6

-4.711566 12.929662 6

-4.926172 12.773003 6

-5.117847 12.623726 6

-5.303250 12.500000 6

-5.573500 12.500000 6

intermediate boundry
-5.573500 0.000000 6

-5.303250 -0.000000 6

-5.018500 0.000000 6

-4.805642 -0.113402 6

-4.596287 -0.266228 6

-4.362511 -0.424997 6

-4.102667 -0.587778 6

-3.814906 -0.752398 6

-3.497649 -0.916138 6

3.497649 -0.916138 6

3.814906 -0.752398 6

4.102667 -0.587778 6

4.362511 -0.424997 6

4.596287 -0.266228 6

4.805642 -0.113402 6

5.018500 0.000000 6

5.303250 0.000000 6

5.573500 0.000000 6

5.573500 12.500000 6

5.303250 12.500000 6

5.018500 12.500000 6

4.805642 12.613402 6

4.596287 12.766228 6

4.362511 12.924997 6

4.102667 13.087778 6

3.814906 13.252398 6

3.497649 13.416138 6

-3.497649 13.416138 6

-3.814906 13.252398 6

-4.102667 13.087778 6

-4.362511 12.924997 6

-4.596287 12.766228 6

-4.805642 12.613402 6

-5.018500 12.500000 6

-5.303250 12.500000 6

-5.573500 12.500000 6

intermediate boundry
-5.573500 0.000000 6

-5.303250 -0.000000 6

-5.018500 0.000000 6

-4.720000 -0.000000 6

-4.481007 -0.102794 6

-4.253095 -0.257581 6

-3.999768 -0.416279 6

-3.719224 -0.576770 6

-3.409924 -0.736404 6

3.409924 -0.736404 6

3.719224 -0.576770 6

3.999768 -0.416279 6

4.253095 -0.257581 6

4.481007 -0.102794 6

4.720000 0.000000 6

5.018500 0.000000 6

5.303250 0.000000 6

5.573500 0.000000 6

5.573500 12.500000 6

5.303250 12.500000 6

5.018500 12.500000 6

4.720000 12.500000 6

4.481007 12.602794 6

4.253095 12.757581 6

3.999768 12.916279 6

3.719224 13.076770 6

3.409924 13.236404 6

-3.409924 13.236404 6

-3.719224 13.076770 6

-3.999768 12.916279 6

-4.253095 12.757581 6

-4.481007 12.602794 6

-4.720000 12.500000 6

-5.018500 12.500000 6

-5.303250 12.500000 6

-5.573500 12.500000 6

intermediate boundry
-5.573500 0.000000 6

-5.303250 -0.000000 6

-5.018500 0.000000 6

-4.720000 -0.000000 6

-4.408500 0.000000 6

-4.143678 -0.090165 6

-3.896868 -0.244781 6

-3.623543 -0.401143 6

-3.322199 -0.556670 6

3.322199 -0.556670 6

3.623543 -0.401143 6

3.896868 -0.244781 6

4.143678 -0.090165 6

4.408500 0.000000 6

4.720000 0.000000 6

5.018500 0.000000 6

5.303250 0.000000 6

5.573500 0.000000 6

5.573500 12.500000 6

5.303250 12.500000 6

5.018500 12.500000 6

4.720000 12.500000 6

4.408500 12.500000 6

4.143678 12.590165 6

3.896868 12.744781 6

3.623543 12.901143 6

3.322199 13.056670 6

-3.322199 13.056670 6

-3.623543 12.901143 6

-3.896868 12.744781 6

-4.143678 12.590165 6

-4.408500 12.500000 6

-4.720000 12.500000 6

-5.018500 12.500000 6

-5.303250 12.500000 6

-5.573500 12.500000 6

intermediate boundry
-5.573500 0.000000 6

-5.303250 -0.000000 6

-5.018500 0.000000 6

